id,Sitio,Piso,r,Ks.ms,a.m,Ks.mmhr,N_Macroporos,N.m2_Macroporos,N_Mesoporos,N_Microporos,O.m_Macroporos,O.m_Mesoporos,O.m_Microporos,PF_Macroporos,PF_Mesoporos,PF_Microporos,trat,rec,S,a.max,w.max,a.105,w.min,a.err,Ys.105,Ys.max,IRDI,Y90.max,a_corr,w.campo,a.campo,tipoR_0,tipoR
1 ELLP4.0.0.Pin,Pinera Miguel,1,0.0645,4.14E-06,49.63182326,14.89842424,11.40776315,872.8330725,584198064.4,NA,8.96E-06,0.045882809,NA,66.11825968,33.85953831,0.022202011,Sub,1,61.91,103.31,0.1,101.75,1.1,1.56,19,17.6,56.28,42.24,49.1,0.7,93.77,Sub(1),G(1)
1 ELLP7.1.1.StR,Santa Rita,2,0.0645,2.03E-06,10.89736946,7.304186974,2.340184458,179.0526647,611745189.3,NA,1.84E-06,0.048046355,NA,27.66555991,72.32025289,0.014187201,Sup,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sup(1),S(1)
1 ELLP7.1.3.StR,Santa Rita,3,0.0645,8.76E-06,27.66426147,31.53998266,16.54526383,1265.91456,1997327583,NA,1.30E-05,0.156869742,NA,45.29742365,54.68259355,0.019982795,Sup,1,4.5,90,0,90,0.1,0,29.7,29.7,45,71.28,0,1.2,90,Sup(1),S(1)
1 ELLP7.2.5.Pin,Pinera Miguel,3,0.0645,3.60E-06,5.610450396,12.95847076,1.728141832,132.223936,1327775348,NA,1.36E-06,0.104283232,NA,11.51560833,88.47734936,0.007042307,Sub,1,4.55,91.06,0,91.06,0.1,0,28.63,28.63,45.5,68.71,0,0.4,90,Sub(1),G(1)
1.0.1.Yac,La Yácata,2,0.0455,1.01E-06,6.758489187,3.622716339,0.574907272,88.39447811,362016501.7,NA,4.52E-07,0.02843271,NA,13.70328618,86.28897154,0.007742285,Sub,2,88.44,114.92,0.6,103.26,1,11.66,18.66,9.96,88.44,23.9,111.3,0.7,110.24,Sub(2),G(2)
1.1.3.StR,Santa Rita,3,0.0455,2.95E-06,4.674888615,10.60493454,1.190294596,183.0129392,1108992929,NA,9.35E-07,0.087100101,NA,9.691873233,90.29881276,0.009314002,Sup,1,4.5,90,0,90,0.1,0,29.7,29.7,45,71.28,0,0.7,90,Sup(1),S(1)
2.0.0.Pin,Pinera Miguel,1,0.0455,4.80E-07,3.149453063,1.729773867,0.132959766,20.44313874,186809501.3,NA,1.04E-07,0.014671984,NA,6.637310978,93.25473335,0.107955669,Sub,1,110.6,105.66,0.6,104.35,1.5,1.31,16.87,15.83,73.73,37.99,42.8,1.1,93.18,Sub(1),G(1)
2.1.0.StR,Santa Rita,1,0.0455,1.71E-06,11.6062833,6.16373532,1.596104055,245.4078976,554114811.4,NA,1.25E-06,0.043520076,NA,22.36034371,77.62775614,0.011900144,Sup,1,69.67,109.16,0.2,96.28,1.1,12.88,24.13,13.49,63.34,32.38,92.7,0.5,102.23,Sup(1),S(1)
2.2.0.Pin,Pinera Miguel,1,0.0455,7.25E-07,2.862505986,2.609093045,0.182841869,28.1127277,283271141.5,NA,1.44E-07,0.022248063,NA,6.051281284,93.7505924,0.198126315,Sub,1,51.45,103.31,0.1,99.31,0.9,4,21.12,17.6,57.17,42.24,49.1,0.5,93.77,Sub(1),G(1)
3.1.2.Pin,Pinera Miguel,2,0.0455,3.99E-07,1.045469458,1.434746871,0.037451505,5.758330778,145409351.4,NA,2.94E-08,0.011420424,NA,2.254006884,87.51415554,10.23183758,Sub,1,23.14,93.18,0.1,90,0.4,3.18,29.7,26.49,57.85,63.58,0,0.5,90,Sub(1),G(1)
3.2.5.Pin,Pinera Miguel,3,0.0455,5.03E-07,6.883623048,1.811705201,0.292442582,44.96431107,180549307.9,NA,2.30E-07,0.014180309,NA,13.93844523,86.05370075,0.007854018,Sub,1,38.9,97.24,0,97.24,0.8,0,22.78,22.78,48.62,54.67,17.2,0.8,91.59,Sub(1),G(1)
4.0.0.Pin,Pinera Miguel,1,0.0455,1.66E-06,8.027197306,5.963268243,1.10895999,170.507392,579636989.8,NA,8.71E-07,0.045524583,NA,16.05804932,83.93304944,0.008901243,Sub,1,80.9,101.13,0,101.13,1.6,0,19.4,19.4,50.56,46.56,42.8,1.3,93.18,Sub(1),G(1)
4.0.0.Yac,La Yácata,1,0.0455,8.21E-06,43.91522116,29.56987368,21.10135285,3244.424212,1313532029,NA,1.66E-05,0.103164564,NA,61.62005558,38.35769072,0.022253697,Sub,2,51.26,105.66,0.2,90,0.8,15.66,29.7,15.83,64.07,37.99,15,0.7,91.5,Sub(2),G(2)
4.1.0.StR,Santa Rita,1,0.0455,4.03E-06,9.322924056,14.49402416,3.087923355,474.7815634,1369563677,NA,2.43E-06,0.10756528,NA,18.39665171,81.59330101,0.01004728,Sup,1,4.5,90,0,90,0.1,0,29.7,29.7,45,71.28,0,0.9,90,Sup(1),S(1)
4.1.1.Yac,La Yácata,2,0.0455,1.53E-05,62.0375464,54.92613295,47.16531524,7251.871091,1643010034,NA,3.70E-05,0.129041706,NA,74.14894443,25.82988348,0.021172088,Sub,2,78.32,113.33,0.3,106.62,1.1,6.71,15.19,10.83,71.2,25.99,0,1.5,90,Sub(2),G(2)
4.2.0.StR,Santa Rita,1,0.0455,1.46E-06,11.73499044,5.249215536,1.372516474,211.0303406,470576823.8,NA,1.08E-06,0.036959017,NA,22.57794524,77.41005638,0.011998377,Sup,1,4.5,90,0,90,0.1,0,29.7,29.7,45,71.28,0,0.6,90,Sup(1),S(1)
5.0.0.Yac,La Yácata,1,0.0455,1.65E-05,73.26829752,59.573638,55.03023906,8461.137124,1394732590,NA,4.32E-05,0.109542041,NA,79.76429529,20.21613281,0.019571902,Sub,2,60.29,113.33,0.3,99.75,0.8,13.58,20.54,10.83,75.36,25.99,0,0.9,90,Sub(2),G(2)
